Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
-100.000000,-0.054000,-0.002100,-0.014984,0.012884,-12.449290,0.009263,-0.074000,-0.021400,-0.022541,0.001141,0.219466,0.005707,-0.084000,-0.028500,-0.026320,-0.002180,-0.397020,0.009277,-0.054000,-0.000400,-0.014984,0.014584,-64.281227,0.010830,-0.069000,-0.014500,-0.020652,0.006152,-0.642308,0.004622,-0.079000,-0.022900,-0.024431,0.001531,-0.651031,0.006083,-0.059000,-0.006600,-0.016874,0.010274,-9.543590,0.006437,-0.068800,-0.015600,-0.020576,0.004976,-0.202003,0.004576,-0.068800,-0.019700,-0.020576,0.000876,-0.412524,0.006526
-110.000000,-0.054000,-0.002300,-0.014984,0.012684,-12.449290,0.009263,-0.074000,-0.021800,-0.022541,0.000741,0.219466,0.005707,-0.084000,-0.029400,-0.026320,-0.003080,-0.397020,0.009277,-0.049000,-0.000300,-0.013095,0.012795,-64.281227,0.010830,-0.069000,-0.014500,-0.020652,0.006152,-0.642308,0.004622,-0.074000,-0.022300,-0.022541,0.000241,-0.651031,0.006083,-0.054000,-0.005700,-0.014984,0.009284,-9.543590,0.006437,-0.063800,-0.015800,-0.018687,0.002887,-0.202003,0.004576,-0.068800,-0.020600,-0.020576,-0.000024,-0.412524,0.006526
-120.000000,-0.054000,-0.002800,-0.014984,0.012184,-12.449290,0.009263,-0.074000,-0.023100,-0.022541,-0.000559,0.219466,0.005707,-0.089000,-0.030400,-0.028209,-0.002191,-0.397020,0.009277,-0.049000,0.000000,-0.013095,0.013095,-64.281227,0.010830,-0.064000,-0.014800,-0.018763,0.003963,-0.642308,0.004622,-0.079000,-0.023400,-0.024431,0.001031,-0.651031,0.006083,-0.054000,-0.005800,-0.014984,0.009184,-9.543590,0.006437,-0.063800,-0.016200,-0.018687,0.002487,-0.202003,0.004576,-0.073800,-0.021600,-0.022466,0.000866,-0.412524,0.006526
-130.000000,-0.059000,-0.003700,-0.016874,0.013174,-12.449290,0.009263,-0.084000,-0.023900,-0.026320,0.002420,0.219466,0.005707,-0.089000,-0.032100,-0.028209,-0.003891,-0.397020,0.009277,-0.059000,-0.001700,-0.016874,0.015174,-64.281227,0.010830,-0.074000,-0.016300,-0.022541,0.006241,-0.642308,0.004622,-0.084000,-0.024400,-0.026320,0.001920,-0.651031,0.006083,-0.059000,-0.007200,-0.016874,0.009674,-9.543590,0.006437,-0.073800,-0.017300,-0.022466,0.005166,-0.202003,0.004576,-0.078800,-0.022500,-0.024355,0.001855,-0.412524,0.006526
-140.000000,-0.059000,-0.003700,-0.016874,0.013174,-12.449290,0.009263,-0.079000,-0.024400,-0.024431,0.000031,0.219466,0.005707,-0.089000,-0.032900,-0.028209,-0.004691,-0.397020,0.009277,-0.059000,-0.000800,-0.016874,0.016074,-64.281227,0.010830,-0.074000,-0.017300,-0.022541,0.005241,-0.642308,0.004622,-0.079000,-0.025100,-0.024431,-0.000669,-0.651031,0.006083,-0.059000,-0.007800,-0.016874,0.009074,-9.543590,0.006437,-0.073800,-0.018400,-0.022466,0.004066,-0.202003,0.004576,-0.078800,-0.024100,-0.024355,0.000255,-0.412524,0.006526
-150.000000,-0.059000,-0.003400,-0.016874,0.013474,-12.449290,0.009263,-0.079000,-0.025600,-0.024431,-0.001169,0.219466,0.005707,-0.089000,-0.034200,-0.028209,-0.005991,-0.397020,0.009277,-0.059000,-0.002000,-0.016874,0.014874,-64.281227,0.010830,-0.074000,-0.017300,-0.022541,0.005241,-0.642308,0.004622,-0.084000,-0.026100,-0.026320,0.000220,-0.651031,0.006083,-0.059000,-0.007900,-0.016874,0.008974,-9.543590,0.006437,-0.073800,-0.017800,-0.022466,0.004666,-0.202003,0.004576,-0.073800,-0.024600,-0.022466,-0.002134,-0.412524,0.006526
-160.000000,-0.059000,-0.004000,-0.016874,0.012874,-12.449290,0.009263,-0.079000,-0.026700,-0.024431,-0.002269,0.219466,0.005707,-0.089000,-0.035200,-0.028209,-0.006991,-0.397020,0.009277,-0.054000,-0.001000,-0.014984,0.013984,-64.281227,0.010830,-0.074000,-0.017400,-0.022541,0.005141,-0.642308,0.004622,-0.079000,-0.026000,-0.024431,-0.001569,-0.651031,0.006083,-0.054000,-0.007800,-0.014984,0.007184,-9.543590,0.006437,-0.068800,-0.019300,-0.020576,0.001276,-0.202003,0.004576,-0.078800,-0.025200,-0.024355,-0.000845,-0.412524,0.006526
-170.000000,-0.059000,-0.004300,-0.016874,0.012574,-12.449290,0.009263,-0.084000,-0.027500,-0.026320,-0.001180,0.219466,0.005707,-0.099000,-0.036100,-0.031987,-0.004113,-0.397020,0.009277,-0.054000,-0.001300,-0.014984,0.013684,-64.281227,0.010830,-0.074000,-0.017700,-0.022541,0.004841,-0.642308,0.004622,-0.084000,-0.026400,-0.026320,-0.000080,-0.651031,0.006083,-0.059000,-0.007800,-0.016874,0.009074,-9.543590,0.006437,-0.068800,-0.019400,-0.020576,0.001176,-0.202003,0.004576,-0.078800,-0.025700,-0.024355,-0.001345,-0.412524,0.006526
-180.000000,-0.059000,-0.004700,-0.016874,0.012174,-12.449290,0.009263,-0.084000,-0.028400,-0.026320,-0.002080,0.219466,0.005707,-0.094000,-0.037500,-0.030098,-0.007402,-0.397020,0.009277,-0.059000,-0.001600,-0.016874,0.015274,-64.281227,0.010830,-0.074000,-0.019000,-0.022541,0.003541,-0.642308,0.004622,-0.084000,-0.027300,-0.026320,-0.000980,-0.651031,0.006083,-0.059000,-0.008800,-0.016874,0.008074,-9.543590,0.006437,-0.073800,-0.020500,-0.022466,0.001966,-0.202003,0.004576,-0.078800,-0.026800,-0.024355,-0.002445,-0.412524,0.006526
-190.000000,-0.059000,-0.005000,-0.016874,0.011874,-12.449290,0.009263,-0.084000,-0.029400,-0.026320,-0.003080,0.219466,0.005707,-0.094000,-0.038700,-0.030098,-0.008602,-0.397020,0.009277,-0.054000,-0.001800,-0.014984,0.013184,-64.281227,0.010830,-0.074000,-0.019700,-0.022541,0.002841,-0.642308,0.004622,-0.084000,-0.028500,-0.026320,-0.002180,-0.651031,0.006083,-0.059000,-0.008900,-0.016874,0.007974,-9.543590,0.006437,-0.073800,-0.021000,-0.022466,0.001466,-0.202003,0.004576,-0.078800,-0.028200,-0.024355,-0.003845,-0.412524,0.006526
-200.000000,-0.049000,-0.006000,-0.013095,0.007095,-12.449290,0.009263,-0.079000,-0.030600,-0.024431,-0.006169,0.219466,0.005707,-0.089000,-0.039800,-0.028209,-0.011591,-0.397020,0.009277,-0.049000,-0.002700,-0.013095,0.010395,-64.281227,0.010830,-0.064000,-0.019900,-0.018763,-0.001137,-0.642308,0.004622,-0.079000,-0.029200,-0.024431,-0.004769,-0.651031,0.006083,-0.054000,-0.009000,-0.014984,0.005984,-9.543590,0.006437,-0.068800,-0.021900,-0.020576,-0.001324,-0.202003,0.004576,-0.073800,-0.028400,-0.022466,-0.005934,-0.412524,0.006526
-210.000000,-0.049000,-0.006000,-0.013095,0.007095,-12.449290,0.009263,-0.074000,-0.031100,-0.022541,-0.008559,0.219466,0.005707,-0.089000,-0.040500,-0.028209,-0.012291,-0.397020,0.009277,-0.044000,-0.001500,-0.011206,0.009706,-64.281227,0.010830,-0.064000,-0.019500,-0.018763,-0.000737,-0.642308,0.004622,-0.074000,-0.028500,-0.022541,-0.005959,-0.651031,0.006083,-0.049000,-0.009100,-0.013095,0.003995,-9.543590,0.006437,-0.063800,-0.021900,-0.018687,-0.003213,-0.202003,0.004576,-0.068800,-0.029300,-0.020576,-0.008724,-0.412524,0.006526
-220.000000,-0.049000,-0.006800,-0.013095,0.006295,-12.449290,0.009263,-0.074000,-0.031500,-0.022541,-0.008959,0.219466,0.005707,-0.089000,-0.041600,-0.028209,-0.013391,-0.397020,0.009277,-0.044000,-0.002900,-0.011206,0.008306,-64.281227,0.010830,-0.064000,-0.020900,-0.018763,-0.002137,-0.642308,0.004622,-0.074000,-0.029800,-0.022541,-0.007259,-0.651031,0.006083,-0.049000,-0.009800,-0.013095,0.003295,-9.543590,0.006437,-0.063800,-0.022100,-0.018687,-0.003413,-0.202003,0.004576,-0.068800,-0.030000,-0.020576,-0.009424,-0.412524,0.006526
-230.000000,-0.044000,-0.007500,-0.011206,0.003706,-12.449290,0.009263,-0.074000,-0.033400,-0.022541,-0.010859,0.219466,0.005707,-0.079000,-0.042500,-0.024431,-0.018069,-0.397020,0.009277,-0.044000,-0.002800,-0.011206,0.008406,-64.281227,0.010830,-0.059000,-0.021600,-0.016874,-0.004726,-0.642308,0.004622,-0.069000,-0.030100,-0.020652,-0.009448,-0.651031,0.006083,-0.044000,-0.010200,-0.011206,0.001006,-9.543590,0.006437,-0.058800,-0.023100,-0.016798,-0.006302,-0.202003,0.004576,-0.063800,-0.030600,-0.018687,-0.011913,-0.412524,0.006526
-240.000000,-0.044000,-0.007800,-0.011206,0.003406,-12.449290,0.009263,-0.069000,-0.034000,-0.020652,-0.013348,0.219466,0.005707,-0.079000,-0.043500,-0.024431,-0.019069,-0.397020,0.009277,-0.044000,-0.003800,-0.011206,0.007406,-64.281227,0.010830,-0.059000,-0.021800,-0.016874,-0.004926,-0.642308,0.004622,-0.069000,-0.031500,-0.020652,-0.010848,-0.651031,0.006083,-0.044000,-0.010800,-0.011206,0.000406,-9.543590,0.006437,-0.058800,-0.023600,-0.016798,-0.006802,-0.202003,0.004576,-0.068800,-0.031800,-0.020576,-0.011224,-0.412524,0.006526
