Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1预测值(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2预测值(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3预测值(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4预测值(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5预测值(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6预测值(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7预测值(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8预测值(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9预测值(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
-100.000000,-0.054000,-0.002100,-0.002100,0.000000,1.000000,0.000000,-0.074000,-0.021400,-0.022100,0.000700,0.780567,0.003026,-0.084000,-0.028500,-0.032100,0.003600,0.699492,0.004302,-0.054000,-0.000400,-0.002100,0.001700,-3.874247,0.002959,-0.069000,-0.014500,-0.017100,0.002600,0.731104,0.001870,-0.079000,-0.022900,-0.027100,0.004200,0.672087,0.002711,-0.059000,-0.006600,-0.007100,0.000500,-3.171281,0.004049,-0.068800,-0.015600,-0.016900,0.001300,0.359034,0.003342,-0.068800,-0.019700,-0.016900,-0.002800,0.689616,0.003059
-110.000000,-0.054000,-0.002300,-0.002300,0.000000,1.000000,0.000000,-0.074000,-0.021800,-0.022300,0.000500,0.780567,0.003026,-0.084000,-0.029400,-0.032300,0.002900,0.699492,0.004302,-0.049000,-0.000300,0.002700,-0.003000,-3.874247,0.002959,-0.069000,-0.014500,-0.017300,0.002800,0.731104,0.001870,-0.074000,-0.022300,-0.022300,-0.000000,0.672087,0.002711,-0.054000,-0.005700,-0.002300,-0.003400,-3.171281,0.004049,-0.063800,-0.015800,-0.012100,-0.003700,0.359034,0.003342,-0.068800,-0.020600,-0.017100,-0.003500,0.689616,0.003059
-120.000000,-0.054000,-0.002800,-0.002800,0.000000,1.000000,0.000000,-0.074000,-0.023100,-0.022800,-0.000300,0.780567,0.003026,-0.089000,-0.030400,-0.037800,0.007400,0.699492,0.004302,-0.049000,0.000000,0.002200,-0.002200,-3.874247,0.002959,-0.064000,-0.014800,-0.012800,-0.002000,0.731104,0.001870,-0.079000,-0.023400,-0.027800,0.004400,0.672087,0.002711,-0.054000,-0.005800,-0.002800,-0.003000,-3.171281,0.004049,-0.063800,-0.016200,-0.012600,-0.003600,0.359034,0.003342,-0.073800,-0.021600,-0.022600,0.001000,0.689616,0.003059
-130.000000,-0.059000,-0.003700,-0.003700,0.000000,1.000000,0.000000,-0.084000,-0.023900,-0.028700,0.004800,0.780567,0.003026,-0.089000,-0.032100,-0.033700,0.001600,0.699492,0.004302,-0.059000,-0.001700,-0.003700,0.002000,-3.874247,0.002959,-0.074000,-0.016300,-0.018700,0.002400,0.731104,0.001870,-0.084000,-0.024400,-0.028700,0.004300,0.672087,0.002711,-0.059000,-0.007200,-0.003700,-0.003500,-3.171281,0.004049,-0.073800,-0.017300,-0.018500,0.001200,0.359034,0.003342,-0.078800,-0.022500,-0.023500,0.001000,0.689616,0.003059
-140.000000,-0.059000,-0.003700,-0.003700,0.000000,1.000000,0.000000,-0.079000,-0.024400,-0.023700,-0.000700,0.780567,0.003026,-0.089000,-0.032900,-0.033700,0.000800,0.699492,0.004302,-0.059000,-0.000800,-0.003700,0.002900,-3.874247,0.002959,-0.074000,-0.017300,-0.018700,0.001400,0.731104,0.001870,-0.079000,-0.025100,-0.023700,-0.001400,0.672087,0.002711,-0.059000,-0.007800,-0.003700,-0.004100,-3.171281,0.004049,-0.073800,-0.018400,-0.018500,0.000100,0.359034,0.003342,-0.078800,-0.024100,-0.023500,-0.000600,0.689616,0.003059
-150.000000,-0.059000,-0.003400,-0.003400,0.000000,1.000000,0.000000,-0.079000,-0.025600,-0.023400,-0.002200,0.780567,0.003026,-0.089000,-0.034200,-0.033400,-0.000800,0.699492,0.004302,-0.059000,-0.002000,-0.003400,0.001400,-3.874247,0.002959,-0.074000,-0.017300,-0.018400,0.001100,0.731104,0.001870,-0.084000,-0.026100,-0.028400,0.002300,0.672087,0.002711,-0.059000,-0.007900,-0.003400,-0.004500,-3.171281,0.004049,-0.073800,-0.017800,-0.018200,0.000400,0.359034,0.003342,-0.073800,-0.024600,-0.018200,-0.006400,0.689616,0.003059
-160.000000,-0.059000,-0.004000,-0.004000,0.000000,1.000000,0.000000,-0.079000,-0.026700,-0.024000,-0.002700,0.780567,0.003026,-0.089000,-0.035200,-0.034000,-0.001200,0.699492,0.004302,-0.054000,-0.001000,0.001000,-0.002000,-3.874247,0.002959,-0.074000,-0.017400,-0.019000,0.001600,0.731104,0.001870,-0.079000,-0.026000,-0.024000,-0.002000,0.672087,0.002711,-0.054000,-0.007800,0.001000,-0.008800,-3.171281,0.004049,-0.068800,-0.019300,-0.013800,-0.005500,0.359034,0.003342,-0.078800,-0.025200,-0.023800,-0.001400,0.689616,0.003059
-170.000000,-0.059000,-0.004300,-0.004300,0.000000,1.000000,0.000000,-0.084000,-0.027500,-0.029300,0.001800,0.780567,0.003026,-0.099000,-0.036100,-0.044300,0.008200,0.699492,0.004302,-0.054000,-0.001300,0.000700,-0.002000,-3.874247,0.002959,-0.074000,-0.017700,-0.019300,0.001600,0.731104,0.001870,-0.084000,-0.026400,-0.029300,0.002900,0.672087,0.002711,-0.059000,-0.007800,-0.004300,-0.003500,-3.171281,0.004049,-0.068800,-0.019400,-0.014100,-0.005300,0.359034,0.003342,-0.078800,-0.025700,-0.024100,-0.001600,0.689616,0.003059
-180.000000,-0.059000,-0.004700,-0.004700,0.000000,1.000000,0.000000,-0.084000,-0.028400,-0.029700,0.001300,0.780567,0.003026,-0.094000,-0.037500,-0.039700,0.002200,0.699492,0.004302,-0.059000,-0.001600,-0.004700,0.003100,-3.874247,0.002959,-0.074000,-0.019000,-0.019700,0.000700,0.731104,0.001870,-0.084000,-0.027300,-0.029700,0.002400,0.672087,0.002711,-0.059000,-0.008800,-0.004700,-0.004100,-3.171281,0.004049,-0.073800,-0.020500,-0.019500,-0.001000,0.359034,0.003342,-0.078800,-0.026800,-0.024500,-0.002300,0.689616,0.003059
-190.000000,-0.059000,-0.005000,-0.005000,0.000000,1.000000,0.000000,-0.084000,-0.029400,-0.030000,0.000600,0.780567,0.003026,-0.094000,-0.038700,-0.040000,0.001300,0.699492,0.004302,-0.054000,-0.001800,-0.000000,-0.001800,-3.874247,0.002959,-0.074000,-0.019700,-0.020000,0.000300,0.731104,0.001870,-0.084000,-0.028500,-0.030000,0.001500,0.672087,0.002711,-0.059000,-0.008900,-0.005000,-0.003900,-3.171281,0.004049,-0.073800,-0.021000,-0.019800,-0.001200,0.359034,0.003342,-0.078800,-0.028200,-0.024800,-0.003400,0.689616,0.003059
-200.000000,-0.049000,-0.006000,-0.006000,0.000000,1.000000,0.000000,-0.079000,-0.030600,-0.036000,0.005400,0.780567,0.003026,-0.089000,-0.039800,-0.046000,0.006200,0.699492,0.004302,-0.049000,-0.002700,-0.006000,0.003300,-3.874247,0.002959,-0.064000,-0.019900,-0.021000,0.001100,0.731104,0.001870,-0.079000,-0.029200,-0.036000,0.006800,0.672087,0.002711,-0.054000,-0.009000,-0.011000,0.002000,-3.171281,0.004049,-0.068800,-0.021900,-0.025800,0.003900,0.359034,0.003342,-0.073800,-0.028400,-0.030800,0.002400,0.689616,0.003059
-210.000000,-0.049000,-0.006000,-0.006000,0.000000,1.000000,0.000000,-0.074000,-0.031100,-0.031000,-0.000100,0.780567,0.003026,-0.089000,-0.040500,-0.046000,0.005500,0.699492,0.004302,-0.044000,-0.001500,-0.001000,-0.000500,-3.874247,0.002959,-0.064000,-0.019500,-0.021000,0.001500,0.731104,0.001870,-0.074000,-0.028500,-0.031000,0.002500,0.672087,0.002711,-0.049000,-0.009100,-0.006000,-0.003100,-3.171281,0.004049,-0.063800,-0.021900,-0.020800,-0.001100,0.359034,0.003342,-0.068800,-0.029300,-0.025800,-0.003500,0.689616,0.003059
-220.000000,-0.049000,-0.006800,-0.006800,0.000000,1.000000,0.000000,-0.074000,-0.031500,-0.031800,0.000300,0.780567,0.003026,-0.089000,-0.041600,-0.046800,0.005200,0.699492,0.004302,-0.044000,-0.002900,-0.001800,-0.001100,-3.874247,0.002959,-0.064000,-0.020900,-0.021800,0.000900,0.731104,0.001870,-0.074000,-0.029800,-0.031800,0.002000,0.672087,0.002711,-0.049000,-0.009800,-0.006800,-0.003000,-3.171281,0.004049,-0.063800,-0.022100,-0.021600,-0.000500,0.359034,0.003342,-0.068800,-0.030000,-0.026600,-0.003400,0.689616,0.003059
-230.000000,-0.044000,-0.007500,-0.007500,0.000000,1.000000,0.000000,-0.074000,-0.033400,-0.037500,0.004100,0.780567,0.003026,-0.079000,-0.042500,-0.042500,0.000000,0.699492,0.004302,-0.044000,-0.002800,-0.007500,0.004700,-3.874247,0.002959,-0.059000,-0.021600,-0.022500,0.000900,0.731104,0.001870,-0.069000,-0.030100,-0.032500,0.002400,0.672087,0.002711,-0.044000,-0.010200,-0.007500,-0.002700,-3.171281,0.004049,-0.058800,-0.023100,-0.022300,-0.000800,0.359034,0.003342,-0.063800,-0.030600,-0.027300,-0.003300,0.689616,0.003059
-240.000000,-0.044000,-0.007800,-0.007800,0.000000,1.000000,0.000000,-0.069000,-0.034000,-0.032800,-0.001200,0.780567,0.003026,-0.079000,-0.043500,-0.042800,-0.000700,0.699492,0.004302,-0.044000,-0.003800,-0.007800,0.004000,-3.874247,0.002959,-0.059000,-0.021800,-0.022800,0.001000,0.731104,0.001870,-0.069000,-0.031500,-0.032800,0.001300,0.672087,0.002711,-0.044000,-0.010800,-0.007800,-0.003000,-3.171281,0.004049,-0.058800,-0.023600,-0.022600,-0.001000,0.359034,0.003342,-0.068800,-0.031800,-0.032600,0.000800,0.689616,0.003059
