Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
-100.000000,-0.054000,-0.002100,-0.007093,0.004993,-0.332478,0.002916,-0.074000,-0.021400,-0.023887,0.002487,0.852989,0.002477,-0.084000,-0.028500,-0.032283,0.003783,0.884886,0.002663,-0.054000,-0.000400,-0.007093,0.006693,-7.876982,0.003993,-0.069000,-0.014500,-0.019688,0.005188,0.535138,0.002459,-0.079000,-0.022900,-0.028085,0.005185,0.774777,0.002247,-0.059000,-0.006600,-0.011292,0.004692,-0.865636,0.002708,-0.068800,-0.015600,-0.019520,0.003920,0.439787,0.003124,-0.068800,-0.019700,-0.019520,-0.000180,0.578431,0.003565
-110.000000,-0.054000,-0.002300,-0.005229,0.002929,-0.332478,0.002916,-0.074000,-0.021800,-0.022022,0.000222,0.852989,0.002477,-0.084000,-0.029400,-0.030419,0.001019,0.884886,0.002663,-0.049000,-0.000300,-0.001030,0.000730,-7.876982,0.003993,-0.069000,-0.014500,-0.017824,0.003324,0.535138,0.002459,-0.074000,-0.022300,-0.022022,-0.000278,0.774777,0.002247,-0.054000,-0.005700,-0.005229,-0.000471,-0.865636,0.002708,-0.063800,-0.015800,-0.013458,-0.002342,0.439787,0.003124,-0.068800,-0.020600,-0.017656,-0.002944,0.578431,0.003565
-120.000000,-0.054000,-0.002800,-0.003737,0.000937,-0.332478,0.002916,-0.074000,-0.023100,-0.020531,-0.002569,0.852989,0.002477,-0.089000,-0.030400,-0.033126,0.002726,0.884886,0.002663,-0.049000,0.000000,0.000461,-0.000461,-7.876982,0.003993,-0.064000,-0.014800,-0.012134,-0.002666,0.535138,0.002459,-0.079000,-0.023400,-0.024729,0.001329,0.774777,0.002247,-0.054000,-0.005800,-0.003737,-0.002063,-0.865636,0.002708,-0.063800,-0.016200,-0.011966,-0.004234,0.439787,0.003124,-0.073800,-0.021600,-0.020363,-0.001237,0.578431,0.003565
-130.000000,-0.059000,-0.003700,-0.006835,0.003135,-0.332478,0.002916,-0.084000,-0.023900,-0.027827,0.003927,0.852989,0.002477,-0.089000,-0.032100,-0.032025,-0.000075,0.884886,0.002663,-0.059000,-0.001700,-0.006835,0.005135,-7.876982,0.003993,-0.074000,-0.016300,-0.019430,0.003130,0.535138,0.002459,-0.084000,-0.024400,-0.027827,0.003427,0.774777,0.002247,-0.059000,-0.007200,-0.006835,-0.000365,-0.865636,0.002708,-0.073800,-0.017300,-0.019262,0.001962,0.439787,0.003124,-0.078800,-0.022500,-0.023461,0.000961,0.578431,0.003565
-140.000000,-0.059000,-0.003700,-0.006143,0.002443,-0.332478,0.002916,-0.079000,-0.024400,-0.022937,-0.001463,0.852989,0.002477,-0.089000,-0.032900,-0.031333,-0.001567,0.884886,0.002663,-0.059000,-0.000800,-0.006143,0.005343,-7.876982,0.003993,-0.074000,-0.017300,-0.018738,0.001438,0.535138,0.002459,-0.079000,-0.025100,-0.022937,-0.002163,0.774777,0.002247,-0.059000,-0.007800,-0.006143,-0.001657,-0.865636,0.002708,-0.073800,-0.018400,-0.018570,0.000170,0.439787,0.003124,-0.078800,-0.024100,-0.022769,-0.001331,0.578431,0.003565
-150.000000,-0.059000,-0.003400,-0.005877,0.002477,-0.332478,0.002916,-0.079000,-0.025600,-0.022670,-0.002930,0.852989,0.002477,-0.089000,-0.034200,-0.031067,-0.003133,0.884886,0.002663,-0.059000,-0.002000,-0.005877,0.003877,-7.876982,0.003993,-0.074000,-0.017300,-0.018472,0.001172,0.535138,0.002459,-0.084000,-0.026100,-0.026869,0.000769,0.774777,0.002247,-0.059000,-0.007900,-0.005877,-0.002023,-0.865636,0.002708,-0.073800,-0.017800,-0.018304,0.000504,0.439787,0.003124,-0.073800,-0.024600,-0.018304,-0.006296,0.578431,0.003565
-160.000000,-0.059000,-0.004000,-0.006054,0.002054,-0.332478,0.002916,-0.079000,-0.026700,-0.022847,-0.003853,0.852989,0.002477,-0.089000,-0.035200,-0.031244,-0.003956,0.884886,0.002663,-0.054000,-0.001000,-0.001855,0.000855,-7.876982,0.003993,-0.074000,-0.017400,-0.018649,0.001249,0.535138,0.002459,-0.079000,-0.026000,-0.022847,-0.003153,0.774777,0.002247,-0.054000,-0.007800,-0.001855,-0.005945,-0.865636,0.002708,-0.068800,-0.019300,-0.014283,-0.005017,0.439787,0.003124,-0.078800,-0.025200,-0.022679,-0.002521,0.578431,0.003565
-170.000000,-0.059000,-0.004300,-0.006692,0.002392,-0.332478,0.002916,-0.084000,-0.027500,-0.027684,0.000184,0.852989,0.002477,-0.099000,-0.036100,-0.040279,0.004179,0.884886,0.002663,-0.054000,-0.001300,-0.002494,0.001194,-7.876982,0.003993,-0.074000,-0.017700,-0.019287,0.001587,0.535138,0.002459,-0.084000,-0.026400,-0.027684,0.001284,0.774777,0.002247,-0.059000,-0.007800,-0.006692,-0.001108,-0.865636,0.002708,-0.068800,-0.019400,-0.014921,-0.004479,0.439787,0.003124,-0.078800,-0.025700,-0.023318,-0.002382,0.578431,0.003565
-180.000000,-0.059000,-0.004700,-0.007809,0.003109,-0.332478,0.002916,-0.084000,-0.028400,-0.028801,0.000401,0.852989,0.002477,-0.094000,-0.037500,-0.037197,-0.000303,0.884886,0.002663,-0.059000,-0.001600,-0.007809,0.006209,-7.876982,0.003993,-0.074000,-0.019000,-0.020404,0.001404,0.535138,0.002459,-0.084000,-0.027300,-0.028801,0.001501,0.774777,0.002247,-0.059000,-0.008800,-0.007809,-0.000991,-0.865636,0.002708,-0.073800,-0.020500,-0.020236,-0.000264,0.439787,0.003124,-0.078800,-0.026800,-0.024434,-0.002366,0.578431,0.003565
-190.000000,-0.059000,-0.005000,-0.009422,0.004422,-0.332478,0.002916,-0.084000,-0.029400,-0.030414,0.001014,0.852989,0.002477,-0.094000,-0.038700,-0.038810,0.000110,0.884886,0.002663,-0.054000,-0.001800,-0.005223,0.003423,-7.876982,0.003993,-0.074000,-0.019700,-0.022017,0.002317,0.535138,0.002459,-0.084000,-0.028500,-0.030414,0.001914,0.774777,0.002247,-0.059000,-0.008900,-0.009422,0.000522,-0.865636,0.002708,-0.073800,-0.021000,-0.021849,0.000849,0.439787,0.003124,-0.078800,-0.028200,-0.026047,-0.002153,0.578431,0.003565
-200.000000,-0.049000,-0.006000,-0.003152,-0.002848,-0.332478,0.002916,-0.079000,-0.030600,-0.028342,-0.002258,0.852989,0.002477,-0.089000,-0.039800,-0.036739,-0.003061,0.884886,0.002663,-0.049000,-0.002700,-0.003152,0.000452,-7.876982,0.003993,-0.064000,-0.019900,-0.015747,-0.004153,0.535138,0.002459,-0.079000,-0.029200,-0.028342,-0.000858,0.774777,0.002247,-0.054000,-0.009000,-0.007350,-0.001650,-0.865636,0.002708,-0.068800,-0.021900,-0.019777,-0.002123,0.439787,0.003124,-0.073800,-0.028400,-0.023976,-0.004424,0.578431,0.003565
-210.000000,-0.049000,-0.006000,-0.005810,-0.000190,-0.332478,0.002916,-0.074000,-0.031100,-0.026802,-0.004298,0.852989,0.002477,-0.089000,-0.040500,-0.039397,-0.001103,0.884886,0.002663,-0.044000,-0.001500,-0.001612,0.000112,-7.876982,0.003993,-0.064000,-0.019500,-0.018405,-0.001095,0.535138,0.002459,-0.074000,-0.028500,-0.026802,-0.001698,0.774777,0.002247,-0.049000,-0.009100,-0.005810,-0.003290,-0.865636,0.002708,-0.063800,-0.021900,-0.018237,-0.003663,0.439787,0.003124,-0.068800,-0.029300,-0.022435,-0.006865,0.578431,0.003565
-220.000000,-0.049000,-0.006800,-0.009017,0.002217,-0.332478,0.002916,-0.074000,-0.031500,-0.030009,-0.001491,0.852989,0.002477,-0.089000,-0.041600,-0.042604,0.001004,0.884886,0.002663,-0.044000,-0.002900,-0.004819,0.001919,-7.876982,0.003993,-0.064000,-0.020900,-0.021612,0.000712,0.535138,0.002459,-0.074000,-0.029800,-0.030009,0.000209,0.774777,0.002247,-0.049000,-0.009800,-0.009017,-0.000783,-0.865636,0.002708,-0.063800,-0.022100,-0.021444,-0.000656,0.439787,0.003124,-0.068800,-0.030000,-0.025643,-0.004357,0.578431,0.003565
-230.000000,-0.044000,-0.007500,-0.008592,0.001092,-0.332478,0.002916,-0.074000,-0.033400,-0.033782,0.000382,0.852989,0.002477,-0.079000,-0.042500,-0.037981,-0.004519,0.884886,0.002663,-0.044000,-0.002800,-0.008592,0.005792,-7.876982,0.003993,-0.059000,-0.021600,-0.021187,-0.000413,0.535138,0.002459,-0.069000,-0.030100,-0.029584,-0.000516,0.774777,0.002247,-0.044000,-0.010200,-0.008592,-0.001608,-0.865636,0.002708,-0.058800,-0.023100,-0.021019,-0.002081,0.439787,0.003124,-0.063800,-0.030600,-0.025218,-0.005382,0.578431,0.003565
-240.000000,-0.044000,-0.007800,-0.012950,0.005150,-0.332478,0.002916,-0.069000,-0.034000,-0.033942,-0.000058,0.852989,0.002477,-0.079000,-0.043500,-0.042338,-0.001162,0.884886,0.002663,-0.044000,-0.003800,-0.012950,0.009150,-7.876982,0.003993,-0.059000,-0.021800,-0.025545,0.003745,0.535138,0.002459,-0.069000,-0.031500,-0.033942,0.002442,0.774777,0.002247,-0.044000,-0.010800,-0.012950,0.002150,-0.865636,0.002708,-0.058800,-0.023600,-0.025377,0.001777,0.439787,0.003124,-0.068800,-0.031800,-0.033774,0.001974,0.578431,0.003565
