Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
-100.000000,-0.054000,-0.002100,-0.015830,0.013730,-15.181335,0.010160,-0.074000,-0.021400,-0.022424,0.001024,0.330942,0.005284,-0.084000,-0.028500,-0.025722,-0.002778,-0.410527,0.009321,-0.054000,-0.000400,-0.015830,0.015430,-76.648824,0.011811,-0.069000,-0.014500,-0.020776,0.006276,-0.276419,0.004075,-0.074000,-0.022900,-0.022424,-0.000476,-0.831516,0.006406,-0.059000,-0.006600,-0.017479,0.010879,-11.207293,0.006926,-0.068800,-0.015600,-0.020710,0.005110,0.186552,0.003765,-0.048800,-0.019700,-0.014116,-0.005584,-3.581438,0.011754
-110.000000,-0.054000,-0.002300,-0.015830,0.013530,-15.181335,0.010160,-0.074000,-0.021800,-0.022424,0.000624,0.330942,0.005284,-0.084000,-0.029400,-0.025722,-0.003678,-0.410527,0.009321,-0.049000,-0.000300,-0.014182,0.013882,-76.648824,0.011811,-0.069000,-0.014500,-0.020776,0.006276,-0.276419,0.004075,-0.079000,-0.022300,-0.024073,0.001773,-0.831516,0.006406,-0.054000,-0.005700,-0.015830,0.010130,-11.207293,0.006926,-0.063800,-0.015800,-0.019061,0.003261,0.186552,0.003765,-0.048800,-0.020600,-0.014116,-0.006484,-3.581438,0.011754
-120.000000,-0.054000,-0.002800,-0.015830,0.013030,-15.181335,0.010160,-0.074000,-0.023100,-0.022424,-0.000676,0.330942,0.005284,-0.089000,-0.030400,-0.027370,-0.003030,-0.410527,0.009321,-0.049000,0.000000,-0.014182,0.014182,-76.648824,0.011811,-0.064000,-0.014800,-0.019127,0.004327,-0.276419,0.004075,-0.084000,-0.023400,-0.025722,0.002322,-0.831516,0.006406,-0.054000,-0.005800,-0.015830,0.010030,-11.207293,0.006926,-0.063800,-0.016200,-0.019061,0.002861,0.186552,0.003765,-0.048800,-0.021600,-0.014116,-0.007484,-3.581438,0.011754
-130.000000,-0.059000,-0.003700,-0.017479,0.013779,-15.181335,0.010160,-0.084000,-0.023900,-0.025722,0.001822,0.330942,0.005284,-0.089000,-0.032100,-0.027370,-0.004730,-0.410527,0.009321,-0.059000,-0.001700,-0.017479,0.015779,-76.648824,0.011811,-0.074000,-0.016300,-0.022424,0.006124,-0.276419,0.004075,-0.079000,-0.024400,-0.024073,-0.000327,-0.831516,0.006406,-0.059000,-0.007200,-0.017479,0.010279,-11.207293,0.006926,-0.073800,-0.017300,-0.022359,0.005059,0.186552,0.003765,-0.058800,-0.022500,-0.017413,-0.005087,-3.581438,0.011754
-140.000000,-0.059000,-0.003700,-0.017479,0.013779,-15.181335,0.010160,-0.079000,-0.024400,-0.024073,-0.000327,0.330942,0.005284,-0.089000,-0.032900,-0.027370,-0.005530,-0.410527,0.009321,-0.059000,-0.000800,-0.017479,0.016679,-76.648824,0.011811,-0.074000,-0.017300,-0.022424,0.005124,-0.276419,0.004075,-0.084000,-0.025100,-0.025722,0.000622,-0.831516,0.006406,-0.059000,-0.007800,-0.017479,0.009679,-11.207293,0.006926,-0.073800,-0.018400,-0.022359,0.003959,0.186552,0.003765,-0.053800,-0.024100,-0.015764,-0.008336,-3.581438,0.011754
-150.000000,-0.059000,-0.003400,-0.017479,0.014079,-15.181335,0.010160,-0.079000,-0.025600,-0.024073,-0.001527,0.330942,0.005284,-0.089000,-0.034200,-0.027370,-0.006830,-0.410527,0.009321,-0.059000,-0.002000,-0.017479,0.015479,-76.648824,0.011811,-0.074000,-0.017300,-0.022424,0.005124,-0.276419,0.004075,-0.079000,-0.026100,-0.024073,-0.002027,-0.831516,0.006406,-0.059000,-0.007900,-0.017479,0.009579,-11.207293,0.006926,-0.073800,-0.017800,-0.022359,0.004559,0.186552,0.003765,-0.053800,-0.024600,-0.015764,-0.008836,-3.581438,0.011754
-160.000000,-0.059000,-0.004000,-0.017479,0.013479,-15.181335,0.010160,-0.079000,-0.026700,-0.024073,-0.002627,0.330942,0.005284,-0.089000,-0.035200,-0.027370,-0.007830,-0.410527,0.009321,-0.054000,-0.001000,-0.015830,0.014830,-76.648824,0.011811,-0.074000,-0.017400,-0.022424,0.005024,-0.276419,0.004075,-0.084000,-0.026000,-0.025722,-0.000278,-0.831516,0.006406,-0.054000,-0.007800,-0.015830,0.008030,-11.207293,0.006926,-0.068800,-0.019300,-0.020710,0.001410,0.186552,0.003765,-0.053800,-0.025200,-0.015764,-0.009436,-3.581438,0.011754
-170.000000,-0.059000,-0.004300,-0.017479,0.013179,-15.181335,0.010160,-0.084000,-0.027500,-0.025722,-0.001778,0.330942,0.005284,-0.099000,-0.036100,-0.030667,-0.005433,-0.410527,0.009321,-0.054000,-0.001300,-0.015830,0.014530,-76.648824,0.011811,-0.074000,-0.017700,-0.022424,0.004724,-0.276419,0.004075,-0.084000,-0.026400,-0.025722,-0.000678,-0.831516,0.006406,-0.059000,-0.007800,-0.017479,0.009679,-11.207293,0.006926,-0.068800,-0.019400,-0.020710,0.001310,0.186552,0.003765,-0.053800,-0.025700,-0.015764,-0.009936,-3.581438,0.011754
-180.000000,-0.059000,-0.004700,-0.017479,0.012779,-15.181335,0.010160,-0.084000,-0.028400,-0.025722,-0.002678,0.330942,0.005284,-0.094000,-0.037500,-0.029019,-0.008481,-0.410527,0.009321,-0.059000,-0.001600,-0.017479,0.015879,-76.648824,0.011811,-0.074000,-0.019000,-0.022424,0.003424,-0.276419,0.004075,-0.084000,-0.027300,-0.025722,-0.001578,-0.831516,0.006406,-0.059000,-0.008800,-0.017479,0.008679,-11.207293,0.006926,-0.073800,-0.020500,-0.022359,0.001859,0.186552,0.003765,-0.053800,-0.026800,-0.015764,-0.011036,-3.581438,0.011754
-190.000000,-0.059000,-0.005000,-0.017479,0.012479,-15.181335,0.010160,-0.084000,-0.029400,-0.025722,-0.003678,0.330942,0.005284,-0.094000,-0.038700,-0.029019,-0.009681,-0.410527,0.009321,-0.054000,-0.001800,-0.015830,0.014030,-76.648824,0.011811,-0.074000,-0.019700,-0.022424,0.002724,-0.276419,0.004075,-0.079000,-0.028500,-0.024073,-0.004427,-0.831516,0.006406,-0.059000,-0.008900,-0.017479,0.008579,-11.207293,0.006926,-0.073800,-0.021000,-0.022359,0.001359,0.186552,0.003765,-0.053800,-0.028200,-0.015764,-0.012436,-3.581438,0.011754
-200.000000,-0.049000,-0.006000,-0.014182,0.008182,-15.181335,0.010160,-0.079000,-0.030600,-0.024073,-0.006527,0.330942,0.005284,-0.089000,-0.039800,-0.027370,-0.012430,-0.410527,0.009321,-0.049000,-0.002700,-0.014182,0.011482,-76.648824,0.011811,-0.064000,-0.019900,-0.019127,-0.000773,-0.276419,0.004075,-0.074000,-0.029200,-0.022424,-0.006776,-0.831516,0.006406,-0.054000,-0.009000,-0.015830,0.006830,-11.207293,0.006926,-0.068800,-0.021900,-0.020710,-0.001190,0.186552,0.003765,-0.043800,-0.028400,-0.012467,-0.015933,-3.581438,0.011754
-210.000000,-0.049000,-0.006000,-0.014182,0.008182,-15.181335,0.010160,-0.074000,-0.031100,-0.022424,-0.008676,0.330942,0.005284,-0.089000,-0.040500,-0.027370,-0.013130,-0.410527,0.009321,-0.044000,-0.001500,-0.012533,0.011033,-76.648824,0.011811,-0.064000,-0.019500,-0.019127,-0.000373,-0.276419,0.004075,-0.074000,-0.028500,-0.022424,-0.006076,-0.831516,0.006406,-0.049000,-0.009100,-0.014182,0.005082,-11.207293,0.006926,-0.063800,-0.021900,-0.019061,-0.002839,0.186552,0.003765,-0.043800,-0.029300,-0.012467,-0.016833,-3.581438,0.011754
-220.000000,-0.049000,-0.006800,-0.014182,0.007382,-15.181335,0.010160,-0.074000,-0.031500,-0.022424,-0.009076,0.330942,0.005284,-0.089000,-0.041600,-0.027370,-0.014230,-0.410527,0.009321,-0.044000,-0.002900,-0.012533,0.009633,-76.648824,0.011811,-0.064000,-0.020900,-0.019127,-0.001773,-0.276419,0.004075,-0.069000,-0.029800,-0.020776,-0.009024,-0.831516,0.006406,-0.049000,-0.009800,-0.014182,0.004382,-11.207293,0.006926,-0.063800,-0.022100,-0.019061,-0.003039,0.186552,0.003765,-0.043800,-0.030000,-0.012467,-0.017533,-3.581438,0.011754
-230.000000,-0.044000,-0.007500,-0.012533,0.005033,-15.181335,0.010160,-0.074000,-0.033400,-0.022424,-0.010976,0.330942,0.005284,-0.079000,-0.042500,-0.024073,-0.018427,-0.410527,0.009321,-0.044000,-0.002800,-0.012533,0.009733,-76.648824,0.011811,-0.059000,-0.021600,-0.017479,-0.004121,-0.276419,0.004075,-0.069000,-0.030100,-0.020776,-0.009324,-0.831516,0.006406,-0.044000,-0.010200,-0.012533,0.002333,-11.207293,0.006926,-0.058800,-0.023100,-0.017413,-0.005687,0.186552,0.003765,-0.038800,-0.030600,-0.010819,-0.019781,-3.581438,0.011754
-240.000000,-0.044000,-0.007800,-0.012533,0.004733,-15.181335,0.010160,-0.069000,-0.034000,-0.020776,-0.013224,0.330942,0.005284,-0.079000,-0.043500,-0.024073,-0.019427,-0.410527,0.009321,-0.044000,-0.003800,-0.012533,0.008733,-76.648824,0.011811,-0.059000,-0.021800,-0.017479,-0.004321,-0.276419,0.004075,-0.034000,-0.031500,-0.009236,-0.022264,-0.831516,0.006406,-0.044000,-0.010800,-0.012533,0.001733,-11.207293,0.006926,-0.058800,-0.023600,-0.017413,-0.006187,0.186552,0.003765,-0.038800,-0.031800,-0.010819,-0.020981,-3.581438,0.011754
