Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
-100.000000,-0.054000,-0.002100,-0.010388,0.008288,-6.348857,0.006847,-0.074000,-0.021400,-0.022208,0.000808,0.915310,0.001880,-0.084000,-0.028500,-0.028118,-0.000382,0.791962,0.003580,-0.054000,-0.000400,-0.010388,0.009988,-36.513275,0.008209,-0.069000,-0.014500,-0.019253,0.004753,0.449388,0.002676,-0.074000,-0.022900,-0.022208,-0.000692,0.235239,0.004140,-0.059000,-0.006600,-0.013343,0.006743,-2.457669,0.003686,-0.068800,-0.015600,-0.019135,0.003535,0.745577,0.002105,-0.048800,-0.019700,-0.007315,-0.012385,-6.436407,0.014974
-110.000000,-0.054000,-0.002300,-0.009295,0.006995,-6.348857,0.006847,-0.074000,-0.021800,-0.021115,-0.000685,0.915310,0.001880,-0.084000,-0.029400,-0.027025,-0.002375,0.791962,0.003580,-0.049000,-0.000300,-0.006340,0.006040,-36.513275,0.008209,-0.069000,-0.014500,-0.018160,0.003660,0.449388,0.002676,-0.079000,-0.022300,-0.024070,0.001770,0.235239,0.004140,-0.054000,-0.005700,-0.009295,0.003595,-2.457669,0.003686,-0.063800,-0.015800,-0.015087,-0.000713,0.745577,0.002105,-0.048800,-0.020600,-0.006221,-0.014379,-6.436407,0.014974
-120.000000,-0.054000,-0.002800,-0.008468,0.005668,-6.348857,0.006847,-0.074000,-0.023100,-0.020288,-0.002812,0.915310,0.001880,-0.089000,-0.030400,-0.029153,-0.001247,0.791962,0.003580,-0.049000,0.000000,-0.005513,0.005513,-36.513275,0.008209,-0.064000,-0.014800,-0.014378,-0.000422,0.449388,0.002676,-0.084000,-0.023400,-0.026198,0.002798,0.235239,0.004140,-0.054000,-0.005800,-0.008468,0.002668,-2.457669,0.003686,-0.063800,-0.016200,-0.014260,-0.001940,0.745577,0.002105,-0.048800,-0.021600,-0.005395,-0.016205,-6.436407,0.014974
-130.000000,-0.059000,-0.003700,-0.010878,0.007178,-6.348857,0.006847,-0.084000,-0.023900,-0.025654,0.001754,0.915310,0.001880,-0.089000,-0.032100,-0.028609,-0.003491,0.791962,0.003580,-0.059000,-0.001700,-0.010878,0.009178,-36.513275,0.008209,-0.074000,-0.016300,-0.019743,0.003443,0.449388,0.002676,-0.079000,-0.024400,-0.022699,-0.001701,0.235239,0.004140,-0.059000,-0.007200,-0.010878,0.003678,-2.457669,0.003686,-0.073800,-0.017300,-0.019625,0.002325,0.745577,0.002105,-0.058800,-0.022500,-0.010760,-0.011740,-6.436407,0.014974
-140.000000,-0.059000,-0.003700,-0.010630,0.006930,-6.348857,0.006847,-0.079000,-0.024400,-0.022451,-0.001949,0.915310,0.001880,-0.089000,-0.032900,-0.028361,-0.004539,0.791962,0.003580,-0.059000,-0.000800,-0.010630,0.009830,-36.513275,0.008209,-0.074000,-0.017300,-0.019496,0.002196,0.449388,0.002676,-0.084000,-0.025100,-0.025406,0.000306,0.235239,0.004140,-0.059000,-0.007800,-0.010630,0.002830,-2.457669,0.003686,-0.073800,-0.018400,-0.019377,0.000977,0.745577,0.002105,-0.053800,-0.024100,-0.007557,-0.016543,-6.436407,0.014974
-150.000000,-0.059000,-0.003400,-0.010694,0.007294,-6.348857,0.006847,-0.079000,-0.025600,-0.022515,-0.003085,0.915310,0.001880,-0.089000,-0.034200,-0.028425,-0.005775,0.791962,0.003580,-0.059000,-0.002000,-0.010694,0.008694,-36.513275,0.008209,-0.074000,-0.017300,-0.019560,0.002260,0.449388,0.002676,-0.079000,-0.026100,-0.022515,-0.003585,0.235239,0.004140,-0.059000,-0.007900,-0.010694,0.002794,-2.457669,0.003686,-0.073800,-0.017800,-0.019441,0.001641,0.745577,0.002105,-0.053800,-0.024600,-0.007621,-0.016979,-6.436407,0.014974
-160.000000,-0.059000,-0.004000,-0.011085,0.007085,-6.348857,0.006847,-0.079000,-0.026700,-0.022906,-0.003794,0.915310,0.001880,-0.089000,-0.035200,-0.028816,-0.006384,0.791962,0.003580,-0.054000,-0.001000,-0.008130,0.007130,-36.513275,0.008209,-0.074000,-0.017400,-0.019950,0.002550,0.449388,0.002676,-0.084000,-0.026000,-0.025861,-0.000139,0.235239,0.004140,-0.054000,-0.007800,-0.008130,0.000330,-2.457669,0.003686,-0.068800,-0.019300,-0.016877,-0.002423,0.745577,0.002105,-0.053800,-0.025200,-0.008012,-0.017188,-6.436407,0.014974
-170.000000,-0.059000,-0.004300,-0.011818,0.007518,-6.348857,0.006847,-0.084000,-0.027500,-0.026594,-0.000906,0.915310,0.001880,-0.099000,-0.036100,-0.035459,-0.000641,0.791962,0.003580,-0.054000,-0.001300,-0.008863,0.007563,-36.513275,0.008209,-0.074000,-0.017700,-0.020683,0.002983,0.449388,0.002676,-0.084000,-0.026400,-0.026594,0.000194,0.235239,0.004140,-0.059000,-0.007800,-0.011818,0.004018,-2.457669,0.003686,-0.068800,-0.019400,-0.017610,-0.001790,0.745577,0.002105,-0.053800,-0.025700,-0.008745,-0.016955,-6.436407,0.014974
-180.000000,-0.059000,-0.004700,-0.012908,0.008208,-6.348857,0.006847,-0.084000,-0.028400,-0.027684,-0.000716,0.915310,0.001880,-0.094000,-0.037500,-0.033594,-0.003906,0.791962,0.003580,-0.059000,-0.001600,-0.012908,0.011308,-36.513275,0.008209,-0.074000,-0.019000,-0.021773,0.002773,0.449388,0.002676,-0.084000,-0.027300,-0.027684,0.000384,0.235239,0.004140,-0.059000,-0.008800,-0.012908,0.004108,-2.457669,0.003686,-0.073800,-0.020500,-0.021655,0.001155,0.745577,0.002105,-0.053800,-0.026800,-0.009835,-0.016965,-6.436407,0.014974
-190.000000,-0.059000,-0.005000,-0.014370,0.009370,-6.348857,0.006847,-0.084000,-0.029400,-0.029146,-0.000254,0.915310,0.001880,-0.094000,-0.038700,-0.035056,-0.003644,0.791962,0.003580,-0.054000,-0.001800,-0.011415,0.009615,-36.513275,0.008209,-0.074000,-0.019700,-0.023236,0.003536,0.449388,0.002676,-0.079000,-0.028500,-0.026191,-0.002309,0.235239,0.004140,-0.059000,-0.008900,-0.014370,0.005470,-2.457669,0.003686,-0.073800,-0.021000,-0.023117,0.002117,0.745577,0.002105,-0.053800,-0.028200,-0.011297,-0.016903,-6.436407,0.014974
-200.000000,-0.049000,-0.006000,-0.010310,0.004310,-6.348857,0.006847,-0.079000,-0.030600,-0.028040,-0.002560,0.915310,0.001880,-0.089000,-0.039800,-0.033950,-0.005850,0.791962,0.003580,-0.049000,-0.002700,-0.010310,0.007610,-36.513275,0.008209,-0.064000,-0.019900,-0.019175,-0.000725,0.449388,0.002676,-0.074000,-0.029200,-0.025085,-0.004115,0.235239,0.004140,-0.054000,-0.009000,-0.013265,0.004265,-2.457669,0.003686,-0.068800,-0.021900,-0.022012,0.000112,0.745577,0.002105,-0.043800,-0.028400,-0.007236,-0.021164,-6.436407,0.014974
-210.000000,-0.049000,-0.006000,-0.012561,0.006561,-6.348857,0.006847,-0.074000,-0.031100,-0.027337,-0.003763,0.915310,0.001880,-0.089000,-0.040500,-0.036202,-0.004298,0.791962,0.003580,-0.044000,-0.001500,-0.009606,0.008106,-36.513275,0.008209,-0.064000,-0.019500,-0.021426,0.001926,0.449388,0.002676,-0.074000,-0.028500,-0.027337,-0.001163,0.235239,0.004140,-0.049000,-0.009100,-0.012561,0.003461,-2.457669,0.003686,-0.063800,-0.021900,-0.021308,-0.000592,0.745577,0.002105,-0.043800,-0.029300,-0.009488,-0.019812,-6.436407,0.014974
-220.000000,-0.049000,-0.006800,-0.015230,0.008430,-6.348857,0.006847,-0.074000,-0.031500,-0.030005,-0.001495,0.915310,0.001880,-0.089000,-0.041600,-0.038871,-0.002729,0.791962,0.003580,-0.044000,-0.002900,-0.012275,0.009375,-36.513275,0.008209,-0.064000,-0.020900,-0.024095,0.003195,0.449388,0.002676,-0.069000,-0.029800,-0.027050,-0.002750,0.235239,0.004140,-0.049000,-0.009800,-0.015230,0.005430,-2.457669,0.003686,-0.063800,-0.022100,-0.023977,0.001877,0.745577,0.002105,-0.043800,-0.030000,-0.012157,-0.017843,-6.436407,0.014974
-230.000000,-0.044000,-0.007500,-0.015376,0.007876,-6.348857,0.006847,-0.074000,-0.033400,-0.033106,-0.000294,0.915310,0.001880,-0.079000,-0.042500,-0.036061,-0.006439,0.791962,0.003580,-0.044000,-0.002800,-0.015376,0.012576,-36.513275,0.008209,-0.059000,-0.021600,-0.024241,0.002641,0.449388,0.002676,-0.069000,-0.030100,-0.030151,0.000051,0.235239,0.004140,-0.044000,-0.010200,-0.015376,0.005176,-2.457669,0.003686,-0.058800,-0.023100,-0.024123,0.001023,0.745577,0.002105,-0.038800,-0.030600,-0.012303,-0.018297,-6.436407,0.014974
-240.000000,-0.044000,-0.007800,-0.018924,0.011124,-6.348857,0.006847,-0.069000,-0.034000,-0.033700,-0.000300,0.915310,0.001880,-0.079000,-0.043500,-0.039610,-0.003890,0.791962,0.003580,-0.044000,-0.003800,-0.018924,0.015124,-36.513275,0.008209,-0.059000,-0.021800,-0.027790,0.005990,0.449388,0.002676,-0.034000,-0.031500,-0.013014,-0.018486,0.235239,0.004140,-0.044000,-0.010800,-0.018924,0.008124,-2.457669,0.003686,-0.058800,-0.023600,-0.027671,0.004071,0.745577,0.002105,-0.038800,-0.031800,-0.015851,-0.015949,-6.436407,0.014974
